T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.0510359	 	0.856449	 	0.696766	 	 -0.384434	 	0.00592879
0.0505256	 	0.750331	 	0.595033	 	 -0.430772	 	0.00221967
0.0500203	 	0.877271	 	0.680408	 	 -0.391527	 	0.00542267
0.0495201	 	0.783215	 	0.619315	 	 -0.44227	 	0.00195031
0.0490249	 	0.827681	 	0.578483	 	 -0.432196	 	0.00278311
0.0485347	 	0.810415	 	0.672437	 	 -0.425317	 	0.0035736
0.0480493	 	0.815631	 	0.554933	 	 -0.406326	 	0.00335587
0.0475688	 	0.776504	 	0.681547	 	 -0.419204	 	0.00351727
0.0470931	 	0.685734	 	0.755932	 	 -0.35866	 	0.00562323
0.0466222	 	0.580142	 	0.695095	 	 -0.316467	 	0.00392495
0.046156	 	0.772948	 	0.620187	 	 -0.439281	 	0.00245609
0.0456944	 	0.720312	 	0.616241	 	 -0.420392	 	0.00225639
0.0452375	 	0.60922	 	0.768697	 	 -0.330125	 	0.00528853
0.0447851	 	0.644571	 	0.789434	 	 -0.321322	 	0.00672364
0.0443372	 	0.688902	 	0.72056	 	 -0.378657	 	0.00417826
0.0438939	 	0.750254	 	0.653067	 	 -0.432321	 	0.00270443
0.0434549	 	0.785911	 	0.606446	 	 -0.44624	 	0.00210187
0.0430204	 	0.76374	 	0.51389	 	 -0.333105	 	0.00576235
